Date,Open,High,Low,Close,Volume,Adj Close
2017-02-07,18.00,18.67,17.99,18.26,26719600,18.26
2017-02-06,17.700001,17.969999,17.41,17.93,13166800,17.93
2017-02-03,17.719999,17.85,17.440001,17.610001,14320200,17.610001
2017-02-02,17.33,17.860001,17.120001,17.780001,19285400,17.780001
2017-02-01,17.84,17.92,17.10,17.24,21050100,17.24
2017-01-31,16.950001,17.74,16.91,17.620001,25802900,17.620001
2017-01-30,16.57,17.10,16.41,16.940001,18232100,16.940001
2017-01-27,16.91,16.969999,16.530001,16.57,11825900,16.57
2017-01-26,16.860001,17.07,16.790001,16.809999,10051200,16.809999
2017-01-25,16.700001,16.790001,16.59,16.73,10928100,16.73
2017-01-24,16.610001,16.66,16.33,16.52,12678800,16.52
2017-01-23,16.57,16.809999,16.459999,16.610001,11671600,16.610001
2017-01-20,16.82,16.90,16.459999,16.58,14369700,16.58
2017-01-19,17.09,17.15,16.75,16.790001,12694500,16.790001
2017-01-18,17.01,17.139999,16.83,17.110001,12393400,17.110001
2017-01-17,17.07,17.09,16.860001,16.959999,13112700,16.959999
2017-01-13,17.379999,17.66,17.23,17.25,11278100,17.25
2017-01-12,17.129999,17.389999,16.959999,17.379999,12334300,17.379999
2017-01-11,17.459999,17.60,17.17,17.299999,10849200,17.299999
2017-01-10,17.51,17.780001,17.32,17.370001,10395700,17.370001
2017-01-09,17.219999,17.559999,17.190001,17.50,11851500,17.50
